Doc;NF;Pedido;Geração;Horário;Cliente;CNPJ;Representante;Vendedor;Transportador;Valor Líquido;
NFS;148298;13417;05/01/2026;16:20;PMZ DISTRIBUIDORA S.A;22.763.502/0017-74;LUAN ATENDIMENTO DIRETO;LUAN CLEMENTE COSTA;TODO BRASIL TRANSPORTES LTDA; 2.773,79 ;
NFS;148299;13430;05/01/2026;16:41;ROGER COMERCIO DE AUTO PECAS LTDA;02.466.604/0001-53;LUAN ATENDIMENTO DIRETO;LUAN CLEMENTE COSTA;RODONAVES ATE 100 KG; 5.082,17 ;
NFS;148300;13429;05/01/2026;16:44;PILOTO AUTOMOTIVA E REFRIGERACAO LTDA;02.921.247/0002-57;AAR CISCATO LTDA.;LUAN CLEMENTE COSTA;TRANS APUCARANA TRANSPORTES RODOVIARIOS LTDA (COLETA); 1.656,32 ;
NFS;148301;13423;05/01/2026;16:51;PETRUCCI DISTRIBUIDORA DE AUTO PECAS LTDA;00.788.422/0001-73;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;RODONAVES ATE 100 KG; 10.271,30 ;
NFS;148302;13422;05/01/2026;17:18;AURELIA VIANA NOGUEIRA ME;10.308.806/0001-03;EXPAND REPRESENTACOES E CONSULTORIA LTDA;JONATAS TEIXEIRA;MULTI CARGAS LTDA.(COLETA); 4.490,44 ;
NFS;148303;13451;06/01/2026;08:32;COMERCIO E DISTRIBUIDORA SBC DIESEL EIRELI;37.406.644/0001-94;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;O PROPRIO; 1.158,88 ;
NFS;148304;13427;06/01/2026;08:46;PILOTO AUTOMOTIVA E REFRIGERAÇÃO LTDA;02.921.247/0001-76;AAR CISCATO LTDA.;LUAN CLEMENTE COSTA;RODONAVES TRANSPORTES E ENCOMENDAS LTDA; 5.191,90 ;
NFS;148306;13444;06/01/2026;09:16;DIRCEU ROSA SENNA & CIA LTDA ME;11.479.699/0001-30;LUAN ATENDIMENTO DIRETO;LUAN CLEMENTE COSTA;RODONAVES TRANSPORTES E ENCOMENDAS LTDA; 3.486,95 ;
NFS;148307;13452;06/01/2026;09:50;FARIA VEICULOS LTDA;01.869.253/0001-69;ALTERNATIVAS EM PECAS DE REPOSICAO AUTOMOTIVAS LTDA;FRANCIELLE DE OLIVEIRA BUENO;MECANICA INDUSTRIAL CENTRO LTDA; 3.326,00 ;
NFS;148311;13446;06/01/2026;10:08;IRMAOS TOME SCANIA LTDA - EPP;23.332.950/0001-19;DUTRA DE MELO REPRESENTACOES LTDA ME;FRANCIELLE DE OLIVEIRA BUENO;M.W.TRANSPORTES LTDA. (COLETA) EUREKA; 3.569,27 ;
NFS;148312;13425;06/01/2026;10:09;MOREIRA CARVALHAES AUTO PECAS LTDA.;03.451.988/0001-01;GABRIEL ATENDIMENTO DIRETO;GABRIEL NEVES;MECANICA INDUSTRIAL CENTRO LTDA; 4.764,00 ;
NFS;148313;13426;06/01/2026;11:13;MERCEVOLKS PATAGONIA PEÇAS E ACESSORIOS PARA VEICU;10.957.585/0001-96;FRANCIELLE ATENDIM DIRETO;FRANCIELLE DE OLIVEIRA BUENO;F.AGUIARTRANSPORTES (FLECHA AZUL ); 2.973,48 ;
NFS;148314;13460;06/01/2026;12:05;GC GUSCAR COMERCIO DE AUTO PECAS LTDA.;05.213.329/0001-54;THAIS ATENDIM DIRETO;THAIS SERPA KOVACIC;MECANICA INDUSTRIAL CENTRO LTDA; 2.660,22 ;
NFS;148316;13428;06/01/2026;12:18;JS DISTRIBUIDORA DE PECAS S/A;04.185.877/0025-22;GABRIEL ATENDIMENTO DIRETO;GABRIEL NEVES;ALFA TRANSPORTES ESPECIAIS LTDA; 5.555,20 ;
NFS;148317;13457;06/01/2026;14:59;ITACUÃ COMERCIAL DE VEÍCULOS LTDA;52.084.225/0001-77;ALTERNATIVAS EM PECAS DE REPOSICAO AUTOMOTIVAS LTDA;FRANCIELLE DE OLIVEIRA BUENO;RODONAVES ATE 100 KG; 1.279,00 ;
NFS;148318;13441;06/01/2026;15:04;VAREJAO COMERCIO E SERVICOS LTDA;14.897.423/0002-41;AVANT COMERCIO E REPRESENTAÇOES;MARINETE GONÇALVES DE OLIVEIRA;TRANSPECAS TRANSPORTES ESP. DE CARGAS E REPRESENTAÇÃO LTDA (N); 3.810,17 ;
